nuvola	G28I1EI29
acqua	K28EM29
olio	K28O28EM29Q29
vapore	K28CI72EM29
pioggia	K28CO62EI0M29
ciao	K28CI76K27EM29
bere	K28CK26Q25EM29
lavandino	K28M19EM29
ghiaccio	K28CK27EM29
piscina	K28M24Q1EM29IM24
neve	K28CO32DO78EI0M29
fiocco di neve	K28O61CO32EI0M29Q49
gelare	K28EM29GK27
riso	O28CM10EQ29GM10
fango	O28Q1EQ29IQ25
palude	O28Q25EQ29
isola	O28EQ29IQ1QO28UQ29
spermatozoo	M29EK28IK28M29
fecondazione	M29EK28GI2IK28M29
non-fecondazione	I0I41M40GM25MK28QM29SI2UK28M29
barriera contraccettiva	M29EK28IK28M29OI0
sentimento	I8EI9
esprimere un sentimento	I8CK26EI9
conforto	I8Q1EI9
sconforto	H17BI8Q1FI9
tessuto	K1O1CI0GI0
numero	O1BI14CK1FI14
edificio	I40M24Q1EI41IM24
garage	I40M24M26M32M77Q1EI41M26M32M77IM24
camper	E40I24M1M26M32EE41M26M32II24
cortile	I40M24Q1EI41IM24Q1KM62QM24
steccato	I40M24Q1EI41IM24Q1QM24SM63
camino	I40M24Q1EI41II0KI63
orecchio	I9
suono	I9Q25
sordo	I17CI9Q25
continuare	M1CM24GK61
su	I60CI0
gas	I60K26CI0
bolla	K61DI60K26FI0
dare	M19CI60EI0
scambiare	M19CI60O62EI0
incontrare	M1GK61KK63M1
fiume	M1O28EQ29GK61
accordo	K1O1GI61M61
avanti e indietro	M1O63Q1GK61
attraverso	K74EI0
visitare	M1EI40M24Q1GK61II41MM24
capire	M1EI18M24Q1GK61MM24
dentro	M1EI3GK61
schiacciare	M1GK61KK26QK63M1
spingere	M1GK61KK27
strizzare	M1GK61KK27QK63M1
fine	M1GK61II0
corsa	Q1EM1GO61KK61
scontro	Q1CO62EI0
specchio	I41M40O49Q48EI0
successo	G78
esplosivo	K63M25EG60K27Q62GG24O24IM25KK61
riunione	M25CK61EI62O60GG24O24IK63M25
anno	I2GK62
orbita	I2EO63
atomo	I2DL50EO63
nucleo	I2BL95DL50EO63
girare	M60CM19GI11
mescolare	I18CM60EM19GL62
saltare	M18GO62
girare	I21O63
dondolare	M60CM19IM60
ruota	M26M32M77
viaggio	Q1CM26M32M77
gomma	M61EM26M77
palloncino	E2M23
sole	I2
nord	I2CJ60
est	I2FK61
sud	I2CN62
ovest	I2BK63
tempo meteo	I2K28CO62EI0M29
cambio	I2K28EI0M29
sviluppo	I2K28EI0M29IK74
macchina	I2CM26M77
anello	I2CK26
melone	I2CK26EE10
luce	I2CK26EM56
uovo	O1CQ56GQ56KI2OI0
disco	I2EM56
testa	I2CO25EK24
mento	I2CK56O25R60EK24GK56
guancia	I2CK56O25EK24GK56JK63
fronte	I2CH62K56O25EK24GK56
barba	P61DI2P68FK56O25P68HK24P68JK56
collo	I2P61CN48DQ49EK49L49N48FQ49
procione	I2K28M29CM56EK28M29GM56
orso	H50I2CM56EN56GH50M56
vita	I2EI0
morte	I2I17EI0
nuovo	I2EI0M1KK61
terra	I2I16
tempo	I2EI24M25
poesia	I11CE26Q25EI0I10KI8OI9
metafora	E26Q25CI0
volere	I1CE26EE24
generalizzazione	I26M40M41
figlia	I40CM38Q25EI41M39
ragazzo	I26M38CM39
bambino	I26M25Q25CM24
soldi	I26M26CI0
commercio	M19CI26M26EI0
fiore	I26CM24
gambo	M61BI26DM24
giardino	Q1CI26EM24
pianta	I26CM10M24
parco	I26CM24Q1GI23KI0I22
bocca	K26
labbra	H62K26P60
bacche	K26O26EM11O42
ragno	M18CK26EM31
occhio	K26CM56
ciglia	H62K26CM56
colore	K26Q25CM56
notizie	K26CI9M56
occhiali	K26CM56EJ28IK26KM56
cieco	I17BK26DM56
gusto	I14K26Q25
cibo	K26Q25
essere	K26CK24
evento	K26Q25CK24
muto	I17CK26
nome	I16CK26
lingua	K26CI9
combinazione	K26CK26
sputare	K26EM11
bacio	K26EK26
uva	I26CM26EG10I26
cravatta	K26CO60EK26
palla	M26O25
cuffie	M26CI18IM26
frutto	M26CI10
prugna	M26N54CI10N55
ciliegia	M26N54CI10N55EI30M26N54GN55
tubo	M26CM1Q1
fumo	M26CQ1IM30KI31
popa	M26CQ1IM24M30KI31Q48MM24NM63
sigaretta	M26CQ1ER60IM30KI31
neonata	K26EK37M36IK24
neonato	K26EK37M36
neonato	K26EK24M25IK24
forbici	M26EI0M26
nota	M26EI24M49
coscienza	E18I18
perdonare	E18I18M1EI0GK61
morale	E18I18CM25EK24
immorale	E18I18CM25
mente	I18
desiderio	I18CM30EI31
permettere	I18K74EI0
decisione	I18K74II0
idea	I18CO62EI0
opinione	I18CK26
osservare	I18CK26EM56
assurdo	I16I17I18CK26EM56
stato d'animo	I18CK26EK24
fatto	I18CK26Q25EK24
significato	I16I18CK26
